day,meal,menu,students_present,leftover_kg
Sunday,Breakfast,Biryani,151,4.51
Wednesday,Dinner,Biryani,167,9.23
Friday,Dinner,Chole_Rice,388,24.02
Friday,Breakfast,Paneer_Rice,393,18.37
Saturday,Breakfast,Paneer_Rice,424,23.12
Tuesday,Dinner,Chole_Rice,254,13.56
Saturday,Dinner,Paneer_Rice,134,8.57
Friday,Dinner,Poha,408,34.3
Sunday,Lunch,Paneer_Rice,168,9.57
Thursday,Dinner,Paneer_Rice,343,18.25
Sunday,Dinner,Chole_Rice,160,13.74
Tuesday,Lunch,Chole_Rice,133,7.73
Tuesday,Lunch,Poha,270,24.24
Tuesday,Lunch,Paneer_Rice,349,23.85
Sunday,Dinner,Chole_Rice,294,21.2
Friday,Breakfast,Roti_Veg,446,24.36
Friday,Lunch,Rice_Dal,331,22.06
Friday,Dinner,Poha,144,14.89
Monday,Dinner,Rice_Dal,423,26.01
Sunday,Dinner,Biryani,160,6.17
Wednesday,Dinner,Rice_Dal,458,31.71
Monday,Dinner,Rice_Dal,407,27.3
Thursday,Lunch,Rice_Dal,127,14.82
Friday,Dinner,Paneer_Rice,439,20.92
Saturday,Dinner,Biryani,306,14.69
Monday,Breakfast,Roti_Veg,334,17.09
Saturday,Dinner,Biryani,472,18.63
Thursday,Breakfast,Biryani,142,7.8
Sunday,Breakfast,Paneer_Rice,175,7.92
Sunday,Breakfast,Biryani,108,6.84
Thursday,Breakfast,Biryani,322,14.52
Saturday,Lunch,Chole_Rice,410,31.96
Tuesday,Dinner,Paneer_Rice,310,16.7
Wednesday,Lunch,Rice_Dal,195,17.19
Friday,Breakfast,Biryani,438,17.65
Saturday,Breakfast,Rice_Dal,386,22.04
Tuesday,Dinner,Biryani,453,20.19
Thursday,Breakfast,Chole_Rice,131,5.56
Thursday,Lunch,Roti_Veg,466,27.28
Monday,Dinner,Rice_Dal,81,4.86
Tuesday,Lunch,Poha,303,26.97
Tuesday,Breakfast,Paneer_Rice,297,16.12
Saturday,Dinner,Paneer_Rice,282,12.65
Saturday,Breakfast,Paneer_Rice,177,8.29
Saturday,Lunch,Biryani,319,14.29
Wednesday,Lunch,Poha,338,31.34
Thursday,Dinner,Paneer_Rice,482,28.08
Thursday,Dinner,Paneer_Rice,496,28.07
Sunday,Lunch,Rice_Dal,346,24.95
Sunday,Dinner,Chole_Rice,377,24.0
Wednesday,Dinner,Paneer_Rice,223,13.61
Thursday,Breakfast,Roti_Veg,464,28.47
